family_id,config_id,phase,month,entry_time,exit_time,entry_time_ny,side,entry_price,exit_price,stop_price,target_price,pnl_net_r,slippage_pips,engine_instance_id,data_file_source,is_real_trade
F06,F06_LIM_0001,TRAIN,2020-03,2020-03-02 16:45:00.138,2020-03-02 16:45:00.239,11:45,buy,1.11493,1.1116196666666667,1.1116196666666667,1.1248609999999999,0.9,0.2,ENG_1680c45a,EURUSD_ticks_2020-03,True
F06,F06_LIM_0001,TRAIN,2020-03,2020-03-03 15:00:00.130,2020-03-03 15:00:00.181,10:00,buy,1.11271,1.1118986666666666,1.1118986666666666,1.1151440000000006,0.9,0.2,ENG_1680c45a,EURUSD_ticks_2020-03,True
F06,F06_LIM_0001,TRAIN,2020-03,2020-03-05 12:00:00.353,2020-03-05 12:00:00.455,07:00,buy,1.11829,1.1149810000000002,1.1149810000000002,1.1282169999999994,0.9,0.2,ENG_1680c45a,EURUSD_ticks_2020-03,True
F06,F06_LIM_0001,TRAIN,2020-03,2020-03-05 12:30:00.096,2020-03-05 12:30:00.198,07:30,buy,1.11867,1.1153376666666666,1.1153376666666666,1.1286670000000005,0.9,0.2,ENG_1680c45a,EURUSD_ticks_2020-03,True
F06,F06_LIM_0001,TRAIN,2020-03,2020-03-26 11:15:00.099,2020-03-26 11:15:01.089,07:15,buy,1.09598,1.0927063333333333,1.0927063333333333,1.1058009999999998,0.9,0.2,ENG_1680c45a,EURUSD_ticks_2020-03,True
F06,F06_LIM_0001,TRAIN,2020-03,2020-03-26 14:45:00.049,2020-03-26 14:45:00.332,10:45,buy,1.09681,1.095205,1.095205,1.1016250000000003,0.9,0.2,ENG_1680c45a,EURUSD_ticks_2020-03,True
F06,F06_LIM_0001,TRAIN,2020-03,2020-03-26 15:15:00.098,2020-03-26 15:15:00.199,11:15,buy,1.09897,1.0957913333333333,1.0957913333333333,1.108506,0.9,0.2,ENG_1680c45a,EURUSD_ticks_2020-03,True
F06,F06_LIM_0001,TRAIN,2020-03,2020-03-27 15:45:01.183,2020-03-27 15:45:01.774,11:45,buy,1.10358,1.1004966666666667,1.1004966666666667,1.11283,0.9,0.2,ENG_1680c45a,EURUSD_ticks_2020-03,True
F06,F06_LIM_0001,TRAIN,2020-03,2020-03-31 15:15:00.081,2020-03-31 15:15:00.133,11:15,buy,1.09916,1.0968680000000002,1.0968680000000002,1.1060359999999991,0.9,0.2,ENG_1680c45a,EURUSD_ticks_2020-03,True
F06,F06_LIM_0002,TRAIN,2020-03,2020-03-02 16:45:00.138,2020-03-02 16:45:00.239,11:45,buy,1.11493,1.1116196666666667,1.1116196666666667,1.1248609999999999,0.9,0.2,ENG_200db26e,EURUSD_ticks_2020-03,True
